subject_id,event_index,marker,roi,motion_correction,hpf,baseline_m10_0,response_minus_baseline_m5_30,n_channels,diff_xdead,n_live
P05,3,M5,Left_Temporal,wavelet,0.01,-9.687050463054306e-2,0.10970732158706988,4,0.14703474795833249,3
P05,3,M5,PFC_Frontal,wavelet,0.01,5.0192203450132485e-3,-4.4282010072017461e-2,13,-4.4282010072017461e-2,13
P05,3,M5,Right_Temporal,wavelet,0.01,1.655660119025397e-2,-3.4333910691649134e-2,4,-5.0163162598581900e-2,2
P05,4,M3,Left_Temporal,wavelet,0.01,5.223549154334842e-2,-0.12355643378821753,4,-0.16282056132002395,3
P05,4,M3,PFC_Frontal,wavelet,0.01,0.15088209131158897,-2.12247937363341841e-1,13,-2.12247937363341841e-1,13
P05,4,M3,Right_Temporal,wavelet,0.01,1.8722008297124710e-2,-0.059149574945947983,4,-0.090343133761182359,2
P05,5,M3,Left_Temporal,wavelet,0.01,-0.042979840066678293,0.062993663317178872,4,0.083095024385776706,3
P05,5,M3,PFC_Frontal,wavelet,0.01,-9.267041915180723e-3,0.031009439926746391,13,0.031009439926746391,13
P05,5,M3,Right_Temporal,wavelet,0.01,0.01075990322108864,-4.164376487381251e-3,4,4.425239427596512e-2,2
P05,6,M4,Left_Temporal,wavelet,0.01,2.915234110304613e-2,-5.938173373530118e-3,4,-8.969466153720863e-3,3
P05,6,M4,PFC_Frontal,wavelet,0.01,1.21072692308183704e-1,-0.1060999012749634,13,-0.1060999012749634,13
P05,6,M4,Right_Temporal,wavelet,0.01,2.9280814012451923e-2,-2.9852270387215243e-2,4,-0.018235246042436572,2
P05,7,M5,Left_Temporal,wavelet,0.01,3.8277900657351884e-2,-4.93648609329727137e-2,4,-6.772313065756834e-2,3
P05,7,M5,PFC_Frontal,wavelet,0.01,0.098568584856364966,-0.17714056241992776,13,-0.17714056241992776,13
P05,7,M5,Right_Temporal,wavelet,0.01,2.125518651278581e-2,-0.039343927909806183,4,-6.694738511959439e-2,2
P05,8,M6,Left_Temporal,wavelet,0.01,2.188024818859917e-2,-0.13148679698020452,4,-0.17449714021217946,3
P05,8,M6,PFC_Frontal,wavelet,0.01,-0.087156635710201283,0.020866984515127682,13,0.020866984515127682,13
P05,8,M6,Right_Temporal,wavelet,0.01,-1.6135817320927694e-3,-0.014981880277078811,4,-0.033519287868998243,2
P05,9,M5,Left_Temporal,wavelet,0.01,-3.4276591651194382e-2,5.449789317418511e-2,4,0.0724822541127218,3
P05,9,M5,PFC_Frontal,wavelet,0.01,-6.045517129398813e-3,6.00506439564384321e-2,13,6.00506439564384321e-2,13
P05,9,M5,Right_Temporal,wavelet,0.01,4.4405649560593452e-3,-0.0097318686801689605,4,-1.6791035958327175e-2,2
P05,10,M3,Left_Temporal,wavelet,0.01,-4.555575267400157e-3,1.183501802352896e-2,4,1.7172404256990203e-2,3
P05,10,M3,PFC_Frontal,wavelet,0.01,1.5927139597461523e-2,-0.075146548000041571,13,-0.075146548000041571,13
P05,10,M3,Right_Temporal,wavelet,0.01,-1.0871117918730966e-2,0.00717028730313575,4,9.7852709291911800e-3,2
P05,11,M6,Left_Temporal,wavelet,0.01,-4.3399015944116869e-2,5.772520219701917e-2,4,7.708914189808816e-2,3
P05,11,M6,PFC_Frontal,wavelet,0.01,-4.247901292532893e-2,0.13136012586361251,13,0.13136012586361251,13
P05,11,M6,Right_Temporal,wavelet,0.01,1.6464558252752062e-2,-1.6109579333149183e-2,4,-0.042971200975967391,2
P05,12,M4,Left_Temporal,wavelet,0.01,5.713766193115648e-2,-2.138055173566127e-2,4,-3.035655712446012e-2,3
P05,12,M4,PFC_Frontal,wavelet,0.01,2.025997382463881e-1,-0.23007425318425201,13,-0.23007425318425201,13
P05,12,M4,Right_Temporal,wavelet,0.01,1.83480866458639920e-2,2.1156316506637643e-2,4,-4.2129203767923141e-2,2
P06,1,M5,Left_Temporal,wavelet,0.01,0.06281641592228987,0.035736612023679393,4,0.073597181855654642,2
P06,1,M5,PFC_Frontal,wavelet,0.01,0.37454925382552789,-0.34332697676427854,13,-0.34332697676427854,13
P06,1,M5,Right_Temporal,wavelet,0.01,0.28589562972473953,-0.33059474617437346,4,-0.30531091283031342,2
P06,2,M3,Left_Temporal,wavelet,0.01,9.433974944995390e-2,-0.073811551833875444,4,-0.15001311972546216,2
P06,2,M3,PFC_Frontal,wavelet,0.01,-0.061346742813628563,0.10517519095914804,13,0.10517519095914804,13
P06,2,M3,Right_Temporal,wavelet,0.01,-0.19599080160392843,0.3895576230658323,4,0.54354685618582221,2
P06,3,M6,Left_Temporal,wavelet,0.01,0.23643146845996749,-0.32498246361112787,4,-0.64642547305107789,2
P06,3,M6,PFC_Frontal,wavelet,0.01,0.30315340143477049,-0.49697291574649943,13,-0.49697291574649943,13
P06,3,M6,Right_Temporal,wavelet,0.01,0.29645768322801297,-0.40673271772801867,4,-0.5892069784237377,2
P06,4,M4,Left_Temporal,wavelet,0.01,-2.6846881397750707e-2,3.914727843148043e-2,4,0.080713387327359554,2
P06,4,M4,PFC_Frontal,wavelet,0.01,0.12819454635639169,-0.23164975320670167,13,-0.23164975320670167,13
P06,4,M4,Right_Temporal,wavelet,0.01,0.2548636722142622,-0.40678771092475441,4,-0.34479650160865183,2
P06,5,M3,Left_Temporal,wavelet,0.01,0.067624713902798061,-0.12998777771973197,4,-0.25447599513168673,2
P06,5,M3,PFC_Frontal,wavelet,0.01,0.056293653166370472,-0.1253344391473879,13,-0.1253344391473879,13
P06,5,M3,Right_Temporal,wavelet,0.01,-0.44350998613147075,9.062030878334218e-1,4,0.47850783115453832,2
P06,6,M4,Left_Temporal,wavelet,0.01,-2.3943886132393867e-2,-0.049151086922017792,4,-1.00628326765216617e-1,2
P06,6,M4,PFC_Frontal,wavelet,0.01,-0.02725366733785849,-6.1876191732059804e-2,13,-6.1876191732059804e-2,13
P06,6,M4,Right_Temporal,wavelet,0.01,0.1331112379788035,-0.18172775581136391,4,-0.2191353273153078,2
P06,7,M5,Left_Temporal,wavelet,0.01,-0.12761064287060825,0.10924508951294648,4,0.22091684793359184,2
P06,7,M5,PFC_Frontal,wavelet,0.01,1.3443915132606086e-2,-0.14390373788655864,13,-0.14390373788655864,13
P06,7,M5,Right_Temporal,wavelet,0.01,0.21338487600749972,-0.42558151402497874,4,-0.5101710332814563,2
P06,8,M6,Left_Temporal,wavelet,0.01,-0.01112288233339016,0.032496195875222303,4,0.062555178800435152,2
P06,8,M6,PFC_Frontal,wavelet,0.01,-4.572448721260466e-3,-9.012472240712554e-3,13,-9.012472240712554e-3,13
P06,8,M6,Right_Temporal,wavelet,0.01,-5.272024073530938e-2,1.5621591715474834e-1,4,1.6985061764275831e-3,2
P06,9,M4,Left_Temporal,wavelet,0.01,7.365430444053366e-3,-0.039676088938866282,4,-8.139964464261168e-2,2
P06,9,M4,PFC_Frontal,wavelet,0.01,0.037586342992843011,-2.1089927087191414e-2,13,-2.1089927087191414e-2,13
P06,9,M4,Right_Temporal,wavelet,0.01,4.329995438920216e-2,1.89068336345882736e-1,4,0.31944652207980051,2
P06,10,M6,Left_Temporal,wavelet,0.01,1.0672366001679083e-2,1.1211126394868011e-2,4,0.020857301712524211,2
P06,10,M6,PFC_Frontal,wavelet,0.01,0.05215037754099535,-2.8855889059402590e-2,13,-2.8855889059402590e-2,13
P06,10,M6,Right_Temporal,wavelet,0.01,4.852906365918474e-2,9.039520055605280e-3,4,1.3150324420933334e-2,2
P06,11,M5,Left_Temporal,wavelet,0.01,-5.8311897433363700e-2,0.038252991861979273,4,0.077442587001684771,2
P06,11,M5,PFC_Frontal,wavelet,0.01,0.11906593150483472,-0.19031759070808199,13,-0.19031759070808199,13
P06,11,M5,Right_Temporal,wavelet,0.01,5.999427683006198e-2,-0.12903688263925084,4,-0.078450187057813411,2
P06,12,M3,Left_Temporal,wavelet,0.01,0.082584017775332044,-2.975285179627540810e-2,4,-0.05819687915884697,2
P06,12,M3,PFC_Frontal,wavelet,0.01,0.094126461433576919,9.800654992726455e-3,13,9.800654992726455e-3,13
P06,12,M3,Right_Temporal,wavelet,0.01,0.07328504260580708,-5.269438707903425e-2,4,-0.045072200498651981,2
P07,1,M5,Left_Temporal,wavelet,0.01,0.066593093297154432,-3.162924149308863e-2,4,-6.123026235064473e-2,2
P07,1,M5,PFC_Frontal,wavelet,0.01,-2.201101301500602e-3,8.671437542253258e-3,13,8.671437542253258e-3,13
P07,1,M5,Right_Temporal,wavelet,0.01,1.491191127082921,-0.83108093675263472,4,-0.23135886188298099,2
P07,2,M3,Left_Temporal,wavelet,0.01,0.1182091361898979,-0.1138748616896582,4,-2.36423810926103792e-1,2
P07,2,M3,PFC_Frontal,wavelet,0.01,0.077712010897916586,-0.14206929826435408,13,-0.14206929826435408,13
P07,2,M3,Right_Temporal,wavelet,0.01,0.34776023099719428,-0.17834493755590208,4,-0.36965505543787225,2
P07,3,M6,Left_Temporal,wavelet,0.01,-1.2005940077846718e-2,0.11112545451519582,4,0.22052662702851952,2
P07,3,M6,PFC_Frontal,wavelet,0.01,6.563511294021142e-2,1.7650949389483183e-2,13,1.7650949389483183e-2,13
P07,3,M6,Right_Temporal,wavelet,0.01,0.19862744427384957,-5.46692819834535904e-2,4,0.078833389923544536,2
P07,4,M4,Left_Temporal,wavelet,0.01,0.064639111682501596,-0.060083718098280371,4,-0.11654358870697304,2
P07,4,M4,PFC_Frontal,wavelet,0.01,7.355301374187888e-2,-1.6434003918801403e-2,13,-1.6434003918801403e-2,13
P07,4,M4,Right_Temporal,wavelet,0.01,0.067182052837433587,-0.073592869924681142,4,2.19035649308089840e-1,2
P07,5,M3,Left_Temporal,wavelet,0.01,-0.15035955369183307,0.27576054546676665,4,0.555960152019771,2
P07,5,M3,PFC_Frontal,wavelet,0.01,-6.083564537137911e-2,0.15618145095575317,13,0.15618145095575317,13
P07,5,M3,Right_Temporal,wavelet,0.01,0.28411085323024121,-0.15815934586504796,4,5.0434895778652380e-2,2
P07,6,M4,Left_Temporal,wavelet,0.01,-0.20112810541578452,0.20514578578632603,4,0.40927018620849542,2
P07,6,M4,PFC_Frontal,wavelet,0.01,-0.15355149571088611,2.00018997805486161e-1,13,2.00018997805486161e-1,13
P07,6,M4,Right_Temporal,wavelet,0.01,-0.1978721884473339,0.28189843020691258,4,0.47817659943667834,2
P07,7,M5,Left_Temporal,wavelet,0.01,0.1884614229963478,-0.22927007878823513,4,-0.45912698660746454,2
P07,7,M5,PFC_Frontal,wavelet,0.01,0.16745534920900423,-2.14227869568805521e-1,13,-2.14227869568805521e-1,13
P07,7,M5,Right_Temporal,wavelet,0.01,0.28075263358169489,-0.46662693716526504,4,-0.31981018568896619,2
P07,8,M6,Left_Temporal,wavelet,0.01,0.065471793511126322,-4.666867136888034e-2,4,-0.091820222710780386,2
P07,8,M6,PFC_Frontal,wavelet,0.01,0.046757402750432622,-0.042188922299732812,13,-0.042188922299732812,13
P07,8,M6,Right_Temporal,wavelet,0.01,0.11089481435618748,-0.13109604022420196,4,-0.15378361122898135,2
P07,9,M4,Left_Temporal,wavelet,0.01,8.658019959527092e-3,9.6301809463643465e-2,4,0.19095331540295152,2
P07,9,M4,PFC_Frontal,wavelet,0.01,0.15290653013065683,-0.098855164574165044,13,-0.098855164574165044,13
P07,9,M4,Right_Temporal,wavelet,0.01,4.915896812699497e-2,0.1740772916731482,4,2.0530184293296547e-2,2
P07,10,M6,Left_Temporal,wavelet,0.01,-1.2874562109777946e-2,4.097917240995097e-3,4,0.010968183405282481,2
P07,10,M6,PFC_Frontal,wavelet,0.01,3.775234048127781e-3,-0.052043599006814281,13,-0.052043599006814281,13
P07,10,M6,Right_Temporal,wavelet,0.01,-0.11221907330101941,0.13845601401201846,4,0.27260669793730319,2
P07,11,M5,Left_Temporal,wavelet,0.01,-0.03489385088708704,0.078825908801197817,4,0.15743097222148533,2
P07,11,M5,PFC_Frontal,wavelet,0.01,-0.06842247817544031,0.16182344428951431,13,0.16182344428951431,13
P07,11,M5,Right_Temporal,wavelet,0.01,-5.321822657040608e-2,0.25692563402623503,4,0.25466729682083866,2
P07,12,M3,Left_Temporal,wavelet,0.01,-4.6403688624604373e-2,0.10540186072131572,4,2.122016328406365e-1,2
P07,12,M3,PFC_Frontal,wavelet,0.01,0.11931789616346627,-0.075205428148895873,13,-0.075205428148895873,13
P07,12,M3,Right_Temporal,wavelet,0.01,-1.31078990306220105e-2,0.7531193517330208,4,-0.52399490038630003,2
P08,1,M4,Left_Temporal,wavelet,0.01,2.9067999781438923e-2,0.06584406746537641,4,0.13047327349533375,2
P08,1,M4,PFC_Frontal,wavelet,0.01,6.906619630203677e-2,-4.3937203219811900e-2,13,-5.17986328667129505e-2,11
P08,1,M4,Right_Temporal,wavelet,0.01,7.582274836478760e-2,-7.605344135848187e-3,4,-1.4973559534326938e-2,2
P08,2,M6,Left_Temporal,wavelet,0.01,-1.7638681646220826e-2,0.081472987722556567,4,1.6105101696690654e-1,2
P08,2,M6,PFC_Frontal,wavelet,0.01,-1.1096814166076863e-2,1.0520808482410195e-2,13,1.2494225087256054e-2,11
P08,2,M6,Right_Temporal,wavelet,0.01,-4.6429708693528188e-3,2.2842426318382070e-4,4,9.760303347562167e-4,2
P08,3,M5,Left_Temporal,wavelet,0.01,3.0499034654561414e-2,-5.1363364013325605e-2,4,-0.10185167025512014,2
P08,3,M5,PFC_Frontal,wavelet,0.01,3.531554862914062e-3,-1.8500948336773603e-2,13,-2.1924573429038435e-2,11
P08,3,M5,Right_Temporal,wavelet,0.01,1.4615499496490102e-2,-3.223597657925069e-2,4,-0.064343940107571856,2
P08,4,M3,Left_Temporal,wavelet,0.01,-1.5212696591461174e-3,-6.043944324673644e-2,4,-0.12068716731202248,2
P08,4,M3,PFC_Frontal,wavelet,0.01,1.8972433420351750e-3,-6.866257960373289e-3,13,-0.0081834390694608804,11
P08,4,M3,Right_Temporal,wavelet,0.01,1.4500950202619363e-2,-0.039187444028573742,4,-0.078454055863397251,2
P08,5,M3,Left_Temporal,wavelet,0.01,0.15668612287258538,-0.11382367371474386,4,-0.22754399426431821,2
P08,5,M3,PFC_Frontal,wavelet,0.01,0.02103500533768541,-0.034931900926987072,13,-0.041234241108215802,11
P08,5,M3,Right_Temporal,wavelet,0.01,0.05298605821744394,-0.079970046588473162,4,-0.16004364097079007,2
P08,6,M4,Left_Temporal,wavelet,0.01,-0.02730028139331819,0.036757134607124722,4,0.07397103218982104,2
P08,6,M4,PFC_Frontal,wavelet,0.01,1.3874235744134918e-3,-6.365883747765935e-3,13,-7.433511739072904e-3,11
