subject_id,channel_index,chromophore,hrf_peak_s,beta_main,beta_comfort,beta_richness
P40,17,HbO,5,2.838327526168194e-4,6.534418169770546e-4,-5.778828181612431e-4
P40,17,HbR,5,-5.84145349176817e-4,-0.0011474518883756535,9.848301484276051e-5
P40,18,HbO,5,-3.7769823287224974e-6,2.50196448414823e-6,-7.5139850542877385e-6
P40,18,HbR,5,-3.860341258126289e-6,3.908723251537758e-6,3.973989485433447e-8
P40,19,HbO,5,-1.5492047699085478e-6,3.779626833043586e-6,-1.1181068819028252e-5
P40,19,HbR,5,-1.3606548459391333e-6,6.05457086862215e-6,4.678795088858383e-6
P40,20,HbO,5,2.9341159283543684e-7,-8.620056808699653e-7,2.148248427135425e-6
P40,20,HbR,5,-2.5363749534974356e-7,1.1780836899415544e-6,-2.0047881405149392e-8
P40,21,HbO,5,1.4460159450501324e-6,8.914026851860689e-6,1.8469106878637658e-6
P40,21,HbR,5,-9.82051674149936e-7,-9.27459248082384e-7,-8.631286680599559e-7
P40,22,HbO,5,-0.002750269075680654,-0.004354695167824833,-0.0030860612148893326
P40,22,HbR,5,0.0010595943978747731,0.003867308103016867,3.477636094679404e-4
P40,23,HbO,5,0.00201874310852114,8.149625986036785e-4,0.00411768235875451
P40,23,HbR,5,-0.001688991937521261,-0.0023544632575680713,-0.0029188897928842904
P40,1,HbO,8,-4.827026555595623e-4,-0.005355283338744694,-0.0053877092084178525
P40,2,HbO,8,-0.002672399149805658,-0.009261874573966685,-0.007718209552611296
P40,3,HbO,8,0.0011919045923696316,-0.0015904196940433517,-0.0034347705621572302
P40,4,HbO,8,8.659091238251827e-5,0.0037505918520988773,-9.943883392310412e-4
P40,5,HbO,8,-4.8870924491215e-4,0.0034898437674543478,-0.00227885598165465
P40,7,HbO,8,-0.0016576244562363097,-5.522904062306546e-4,-0.006360975033798908
P40,8,HbO,8,-0.0014313464691050157,0.004915232018561703,0.0025368982610394918
P40,9,HbO,8,-0.003229756578547929,0.003655686856625645,-5.06510720529053e-4
P40,10,HbO,8,-0.0026266775459508245,7.322771874798078e-4,-0.00678376039528512
P40,11,HbO,8,-4.3904217166265336e-5,0.0029484416208588053,3.747389557664803e-6
P40,12,HbO,8,-0.0010921929063995332,0.0038119460921792144,-0.004083694664988818
P40,14,HbO,8,-0.002071138004701383,-0.0011577898228380614,-0.004585922023498565
P40,15,HbO,8,-0.0010118249975142341,3.229294054590255e-4,-0.004292489394889094
P40,16,HbO,8,-7.324319556712365e-4,-0.0016853220682618518,-0.0012185679711350856
P40,17,HbO,8,3.394075643732136e-4,1.9741514387260138e-4,-9.752987785865608e-4
P40,18,HbO,8,-1.4705723148860296e-6,5.279578227208178e-6,-1.1649140965783442e-5
P40,19,HbO,8,-7.288206032568027e-7,3.7343252169135788e-6,-1.1864905685689321e-5
P40,20,HbO,8,2.8687281504422792e-8,-7.443635801126299e-7,5.638783380333059e-7
P40,21,HbO,8,1.4735567189916758e-6,5.693133976349482e-6,1.5283382133132756e-6
P40,22,HbO,8,-0.002658021835637099,-0.0031100363288670964,-0.0029903575568557576
P40,23,HbO,8,0.002006332798605244,-1.1544862058680843e-4,0.0010411072288886642
P40,1,HbO,11,-6.202210177492965e-4,-0.0029985767321884134,-0.006477320682649732
P40,2,HbO,11,-0.002891115587837175,-0.007758395298050166,-0.00738589813270595
P40,3,HbO,11,8.042175806177081e-4,-3.992732269431419e-4,-0.0048313203273342015
P40,4,HbO,11,-5.624571540240516e-5,0.0025082914145453127,1.602963700466001e-4
P40,5,HbO,11,-2.838368525241251e-4,0.004977498065621956,-0.0028097599987322833
P40,7,HbO,11,-9.530721199014131e-4,5.489190803854964e-4,-0.004242049145738594
P40,8,HbO,11,-6.711664872455931e-4,0.004052538145168672,0.0019384790745664534
P40,9,HbO,11,-0.0022690502209700572,0.0043989570625155155,0.001386722577495451
P40,10,HbO,11,-0.0016109144797996006,0.002107387234825358,-0.006339036034355722
P40,11,HbO,11,1.5201921476420502e-4,0.003049935556064862,1.3203739832082074e-4
P40,12,HbO,11,-0.0012662821598701387,0.0033625976340430873,-0.0035344717443916403
P40,14,HbO,11,-0.0015997954563884821,-3.9497670483580437e-4,-0.004259843319541121
P40,15,HbO,11,-6.411217612234154e-4,0.002605969725804302,-0.004266437097226151
P40,16,HbO,11,-7.422355293355517e-4,-0.0012859429629894547,-0.0011367566898711138
P40,17,HbO,11,3.087635972351651e-4,7.009777176112143e-5,-9.729622344651841e-4
P40,18,HbO,11,-9.227452744302763e-8,7.757693955736242e-6,-9.71677649587614e-6
P40,19,HbO,11,-3.3487917493488187e-7,4.439345702388198e-6,-9.221293098985444e-6
P40,20,HbO,11,-2.738573021439255e-7,-9.506198204960452e-7,-1.2691969191051179e-7
P40,21,HbO,11,1.165143776113373e-6,2.663396713248256e-6,8.376176031372924e-7
P40,22,HbO,11,-0.0025447177818809226,-0.0020141519287692872,-0.002722917846155464
P40,23,HbO,11,0.0018070844771558296,-2.6772624506217593e-4,-7.348869761194292e-4
P40,1,HbO,14,-6.204667748544112e-4,-9.063264483680594e-4,-0.006902830510051562
P40,2,HbO,14,-0.0027857291141786655,-0.0067068465213847815,-0.0064459601452001684
P40,3,HbO,14,4.5417857202038024e-4,6.876693763868056e-4,-0.0055637408681053595
P40,4,HbO,14,-8.13770500998314e-5,0.0013256925149812053,0.0010416816764473509
P40,5,HbO,14,-8.877542823102211e-5,0.005230287760330815,-0.003049360456279001
P40,7,HbO,14,-4.5268317179860334e-4,0.0013294781095412617,-0.0022747105174363343
P40,8,HbO,14,-2.0771651618621892e-4,0.0026948803831781313,0.0013884802538092615
P40,9,HbO,14,-0.0015720281303819189,0.004196903994135349,0.0029684645333835826
P40,10,HbO,14,-8.573058508629536e-4,0.0023362364726343546,-0.0055796845616857965
P40,11,HbO,14,1.9248386176327442e-4,0.0025343023906715775,1.678057346145604e-4
