time_s,intensity_760nm,intensity_850nm
428.0000,0.56023294,1
429.0000,0.56339514,1
430.0000,0.57022244,1
431.0000,0.57639658,1
432.0000,0.57830298,1
433.0000,0.57018119,1
434.0000,0.57081938,1
435.0000,0.57193267,1
436.0000,0.5759936,1
437.0000,0.57868379,1
438.0000,0.58327234,1
439.0000,0.58200324,1
440.0000,0.57368982,1
441.0000,0.57623231,1
442.0000,0.57702178,1
443.0000,0.5815199,1
444.0000,0.58677632,1
445.0000,0.57685697,1
446.0000,0.57570088,1
447.0000,0.5754239,1
448.0000,0.57872975,1
449.0000,0.57754773,1
450.0000,0.5813126,1
451.0000,0.5698663,1
452.0000,0.56916738,1
453.0000,0.57296675,1
454.0000,0.57940322,1
455.0000,0.58112752,1
456.0000,0.57608038,1
457.0000,0.57380867,1
458.0000,0.57630128,1
459.0000,0.57635266,1
460.0000,0.57966006,1
461.0000,0.56901735,1
462.0000,0.57119668,1
463.0000,0.57409084,1
464.0000,0.5752418,1
465.0000,0.58063525,1
466.0000,0.57227105,1
467.0000,0.57122266,1
468.0000,0.57263666,1
469.0000,0.57864511,1
470.0000,0.58475065,1
471.0000,0.58629262,1
472.0000,0.57621306,1
473.0000,0.57662815,1
474.0000,0.57721543,1
475.0000,0.58281302,1
476.0000,0.57479018,1
477.0000,0.57391167,1
478.0000,0.57596052,1
479.0000,0.58158475,1
480.0000,0.58622319,1
481.0000,0.58593082,1
482.0000,0.57600111,1
483.0000,0.5752936,1
484.0000,0.57432336,1
485.0000,0.57842994,1
486.0000,0.5844987,1
487.0000,0.58595014,1
488.0000,0.57633275,1
489.0000,0.57749391,1
490.0000,0.57824624,1
491.0000,0.58410037,1
492.0000,0.58280438,1
493.0000,0.5795207,1
494.0000,0.58026683,1
495.0000,0.5859884,1
496.0000,0.58816355,1
497.0000,0.57963741,1
498.0000,0.58283067,1
499.0000,0.58533108,1
500.0000,0.59356689,1
501.0000,0.58458465,1
502.0000,0.58520031,1
503.0000,0.59042257,1
504.0000,0.585971,1
505.0000,0.58399332,1
506.0000,0.58785182,1
507.0000,0.59075755,1
508.0000,0.592888,1
509.0000,0.58968168,1
510.0000,0.59525043,1
511.0000,0.59781736,1
512.0000,0.58943009,1
513.0000,0.59280461,1
514.0000,0.59637809,1
515.0000,0.59257263,1
516.0000,0.59063792,1
517.0000,0.59261841,1
518.0000,0.59881997,1
519.0000,0.58746159,1
520.0000,0.58789986,1
521.0000,0.59532148,1
522.0000,0.59716552,1
523.0000,0.58929771,1
524.0000,0.59454852,1
525.0000,0.59653264,1
526.0000,0.59192967,1
527.0000,0.59399974,1
528.0000,0.59905434,1
529.0000,0.59840518,1
530.0000,0.58972406,1
531.0000,0.59436071,1
532.0000,0.59763706,1
533.0000,0.59158808,1
534.0000,0.59158456,1
535.0000,0.59339845,1
536.0000,0.59945464,1
537.0000,0.58924872,1
538.0000,0.58668602,1
539.0000,0.58935863,1
540.0000,0.59547716,1
541.0000,0.58461267,1
542.0000,0.5859468,1
543.0000,0.58850336,1
544.0000,0.59466457,1
545.0000,0.58655703,1
546.0000,0.58703047,1
547.0000,0.59151483,1
548.0000,0.59844035,1
549.0000,0.59086657,1
550.0000,0.59057814,1
551.0000,0.59299898,1
552.0000,0.59511822,1
553.0000,0.60126895,1
554.0000,0.59121656,1
555.0000,0.59116238,1
556.0000,0.5920012,1
557.0000,0.59693635,1
558.0000,0.59023321,1
559.0000,0.59050834,1
560.0000,0.59006286,1
561.0000,0.59461039,1
562.0000,0.59080458,1
563.0000,0.58899593,1
564.0000,0.58914858,1
565.0000,0.59425795,1
566.0000,0.59138334,1
567.0000,0.58898979,1
568.0000,0.58885026,1
569.0000,0.59271765,1
570.0000,0.59737009,1
571.0000,0.59733164,1
572.0000,0.58579117,1
573.0000,0.58676589,1
574.0000,0.58824462,1
575.0000,0.59426415,1
576.0000,0.58585602,1
577.0000,0.58741111,1
578.0000,0.59301174,1
579.0000,0.60050988,1
580.0000,0.60002929,1
581.0000,0.59182698,1
582.0000,0.59532773,1
583.0000,0.60207164,1
584.0000,0.60016018,1
585.0000,0.59318036,1
586.0000,0.59673864,1
587.0000,0.59872842,1
588.0000,0.60584372,1
589.0000,0.59615618,1
590.0000,0.59972352,1
591.0000,0.60138327,1
592.0000,0.60815972,1
593.0000,0.60055619,1
594.0000,0.59943396,1
595.0000,0.60406792,1
596.0000,0.60948038,1
597.0000,0.60053438,1
598.0000,0.59977925,1
599.0000,0.60431653,1
600.0000,0.60500753,1
601.0000,0.59636456,1
602.0000,0.5983603,1
603.0000,0.60418934,1
604.0000,0.60722315,1
605.0000,0.59792686,1
606.0000,0.60219383,1
607.0000,0.60439652,1
608.0000,0.59903657,1
609.0000,0.59775358,1
610.0000,0.59850645,1
611.0000,0.60418445,1
612.0000,0.59460604,1
613.0000,0.59885001,1
614.0000,0.60112578,1
615.0000,0.60260004,1
616.0000,0.59719104,1
617.0000,0.59720594,1
618.0000,0.60227418,1
619.0000,0.59676093,1
620.0000,0.59608209,1
621.0000,0.5974009,1
622.0000,0.60330427,1
623.0000,0.59619349,1
624.0000,0.59639347,1
625.0000,0.59818357,1
626.0000,0.60402304,1
627.0000,0.60598385,1
628.0000,0.59848672,1
629.0000,0.5980857,1
630.0000,0.59817505,1
631.0000,0.60121119,1
632.0000,0.59283292,1
633.0000,0.59008706,1
634.0000,0.59162903,1
635.0000,0.59654379,1
636.0000,0.5976634,1
637.0000,0.60188919,1
638.0000,0.59084588,1
639.0000,0.59334636,1
640.0000,0.5939014,1
641.0000,0.59894669,1
642.0000,0.60001194,1
643.0000,0.59232259,1
644.0000,0.59192419,1
645.0000,0.5958479,1
646.0000,0.59720683,1
647.0000,0.60255569,1
648.0000,0.60299903,1
649.0000,0.59855765,1
650.0000,0.5955283,1
651.0000,0.59767169,1
652.0000,0.59683186,1
653.0000,0.60025746,1
654.0000,0.59094679,1
655.0000,0.58855999,1
656.0000,0.58798373,1
657.0000,0.59183824,1
658.0000,0.59042948,1
659.0000,0.5843206,1
660.0000,0.58501238,1
661.0000,0.58614612,1
662.0000,0.5909915,1
663.0000,0.5971213,1
664.0000,0.59958255,1
665.0000,0.59081048,1
666.0000,0.59309971,1
667.0000,0.59784579,1
668.0000,0.60358799,1
669.0000,0.60488391,1
670.0000,0.5942359,1
671.0000,0.59529239,1
672.0000,0.60029918,1
673.0000,0.60157013,1
674.0000,0.59394377,1
675.0000,0.59516507,1
676.0000,0.59759825,1
677.0000,0.60408062,1
678.0000,0.60448074,1
679.0000,0.5998565,1
680.0000,0.59974664,1
