subject_id,event_index,sequence,sequence_position,marker,quadrant,onset_sec,channel_index,active_pair,chromophore,baseline_m10_0,stim_m0_30,response_m5_30,response_minus_baseline_m5_30
P07,8,S1,4,M6,Q4,750.0,13,0,HbR,-3.069915360106654e-10,-1.5125749250512862e-11,1.6444262838194917e-10,4.714341643926146e-10
P07,8,S1,4,M6,Q4,750.0,13,0,HbT,-1.2135299349419866e-09,5.08847534887516e-10,-1.3707413945165083e-09,-1.5721145957452167e-10
P07,8,S1,4,M6,Q4,750.0,14,1,HbO,-7.767677002837891e-08,1.855982016329853e-07,2.077487277705268e-07,2.854254977989057e-07
P07,8,S1,4,M6,Q4,750.0,14,1,HbR,1.254021826216047e-07,-1.284218217402161e-07,-1.7934084805354465e-07,-3.0474303067514936e-07
P07,8,S1,4,M6,Q4,750.0,14,1,HbT,4.7725412593225697e-08,5.717637989276926e-08,2.8407879716982248e-08,-1.931753287624345e-08
P07,8,S1,4,M6,Q4,750.0,15,1,HbO,1.611685485501404e-09,-8.956437192203763e-10,-1.0922370690954295e-09,-2.7039225545968336e-09
P07,8,S1,4,M6,Q4,750.0,15,1,HbR,2.8521980317241706e-10,1.12307547370129e-09,1.1023258882217095e-09,8.171060850492924e-10
P07,8,S1,4,M6,Q4,750.0,15,1,HbT,1.896905288673821e-09,2.274317544809157e-10,1.0088819126280636e-11,-1.8868164695475406e-09
P07,8,S1,4,M6,Q4,750.0,16,1,HbO,9.583792698250541e-08,-1.710654879509207e-08,-3.6790375548457126e-08,-1.3262830253096252e-07
P07,8,S1,4,M6,Q4,750.0,16,1,HbR,6.587423826925608e-08,-5.414324196224739e-08,-6.771826172552608e-08,-1.3359249999478215e-07
P07,8,S1,4,M6,Q4,750.0,16,1,HbT,1.6171216525176151e-07,-7.124979075733948e-08,-1.0450863727398322e-07,-2.6622080252574473e-07
P07,8,S1,4,M6,Q4,750.0,17,1,HbO,9.550213667503343e-08,-8.46710177608576e-08,-1.153192295625433e-07,-2.108213662375767e-07
P07,8,S1,4,M6,Q4,750.0,17,1,HbR,6.582533965783654e-09,2.0268457445344647e-09,4.484681079405894e-09,-2.09785288637776e-09
P07,8,S1,4,M6,Q4,750.0,17,1,HbT,1.0208467064081712e-07,-8.264417201632316e-08,-1.1083454848313743e-07,-2.1291921912395454e-07
P07,8,S1,4,M6,Q4,750.0,18,1,HbO,5.316940507200977e-10,-2.985064383562703e-10,-9.741084882016845e-10,-1.5058025389217821e-09
P07,8,S1,4,M6,Q4,750.0,18,1,HbR,4.798088073430716e-10,-4.672144804034229e-10,-1.5923443285241702e-09,-2.0721531358672415e-09
P07,8,S1,4,M6,Q4,750.0,18,1,HbT,1.0115028580631692e-09,-7.657209187596946e-10,-2.566452816725854e-09,-3.577955674789023e-09
P07,8,S1,4,M6,Q4,750.0,19,1,HbO,7.39873380414468e-10,-7.891055895440514e-11,-6.002897153685061e-10,-1.340163095782974e-09
P07,8,S1,4,M6,Q4,750.0,19,1,HbR,3.330722760836429e-10,-1.528012316265461e-10,-6.085282816121687e-10,-9.416005576958116e-10
P07,8,S1,4,M6,Q4,750.0,19,1,HbT,1.072945656498111e-09,-2.3171179058095046e-10,-1.2088179969806753e-09,-2.2817636534787864e-09
P07,8,S1,4,M6,Q4,750.0,20,1,HbO,8.313029949076761e-08,4.65631807633357e-08,2.6595492209535572e-08,-5.6534807281232036e-08
P07,8,S1,4,M6,Q4,750.0,20,1,HbR,1.0341800611937738e-07,-3.2220179210590297e-09,-2.812931328999427e-08,-1.3154731940937166e-07
P07,8,S1,4,M6,Q4,750.0,20,1,HbT,1.8654830561014497e-07,4.3341162842276675e-08,-1.5338210804586936e-09,-1.8808212669060365e-07
P07,8,S1,4,M6,Q4,750.0,21,1,HbO,1.7588627989877062e-07,-1.934707004458677e-08,-5.208712488704705e-08,-2.2797340478581767e-07
P07,8,S1,4,M6,Q4,750.0,21,1,HbR,3.550358707478784e-08,-2.944729214913472e-09,-1.1041320493516392e-08,-4.6544907568304233e-08
P07,8,S1,4,M6,Q4,750.0,21,1,HbT,2.1138986697355837e-07,-2.2291799259500264e-08,-6.312844538056345e-08,-2.7451831235412183e-07
P07,8,S1,4,M6,Q4,750.0,22,1,HbO,7.08873162748332e-08,-1.0551019992749646e-07,-1.283271254883808e-07,-1.9921444176321402e-07
P07,8,S1,4,M6,Q4,750.0,22,1,HbR,-1.7891328409274316e-08,2.239006786211567e-08,2.787842731780181e-08,4.5769755727076125e-08
P07,8,S1,4,M6,Q4,750.0,22,1,HbT,5.2995987865558914e-08,-8.312013206538075e-08,-1.0044869817057894e-07,-1.5344468603613785e-07
P07,8,S1,4,M6,Q4,750.0,23,1,HbO,6.692193877055336e-08,-6.768481714482253e-08,-9.513534173018825e-08,-1.6205728050074162e-07
P07,8,S1,4,M6,Q4,750.0,23,1,HbR,-2.0844875603373222e-08,1.3579676885940503e-08,1.84176611983943e-08,3.926253680176752e-08
P07,8,S1,4,M6,Q4,750.0,23,1,HbT,4.607706316718011e-08,-5.410514025888208e-08,-7.671768053179397e-08,-1.2279474369897408e-07
P07,9,S3,1,M4,Q2,900.4,1,1,HbO,2.097536712831405e-07,-1.6026060910501344e-07,-1.9206788653586415e-07,-4.0182155781900464e-07
P07,9,S3,1,M4,Q2,900.4,1,1,HbR,-1.6689606471001661e-07,2.117551087384243e-08,4.543155340799438e-08,2.12327618118011e-07
P07,9,S3,1,M4,Q2,900.4,1,1,HbT,4.2857606573123747e-08,-1.3908509823117098e-07,-1.4663633312786966e-07,-1.894939397009934e-07
P07,9,S3,1,M4,Q2,900.4,2,1,HbO,-2.1626822393318787e-07,1.1312969387210809e-07,1.0827714729848487e-07,3.2454537123167274e-07
P07,9,S3,1,M4,Q2,900.4,2,1,HbR,6.279921037430825e-08,-2.9058566640939997e-08,-2.7808865889305325e-08,-9.060807626361358e-08
P07,9,S3,1,M4,Q2,900.4,2,1,HbT,-1.5346901355887978e-07,8.4071127231168e-08,8.046828140917936e-08,2.3393729496805915e-07
P07,9,S3,1,M4,Q2,900.4,3,1,HbO,3.4771873095195834e-08,-7.300680802785885e-08,-1.0419573663779063e-07,-1.3896760973298646e-07
P07,9,S3,1,M4,Q2,900.4,3,1,HbR,-1.6603701634442885e-07,-3.329279907966156e-08,7.546789146172503e-10,1.667916952590461e-07
P07,9,S3,1,M4,Q2,900.4,3,1,HbT,-1.3126514324923295e-07,-1.0629960710752052e-07,-1.0344105772317344e-07,2.7824085526059515e-08
P07,9,S3,1,M4,Q2,900.4,4,1,HbO,-1.8133860341753197e-07,1.8089526029452743e-07,1.8669295533754868e-07,3.6803155875508067e-07
P07,9,S3,1,M4,Q2,900.4,4,1,HbR,2.9611014319880835e-08,-1.2170796114316556e-08,-1.5030320160839383e-08,-4.464133448072022e-08
P07,9,S3,1,M4,Q2,900.4,4,1,HbT,-1.5172758909765108e-07,1.687244641802109e-07,1.716626351767092e-07,3.233902242743603e-07
P07,9,S3,1,M4,Q2,900.4,5,1,HbO,-3.9563448257682835e-10,7.463261805115346e-10,6.520399420615983e-10,1.0476744246384267e-09
P07,9,S3,1,M4,Q2,900.4,5,1,HbR,4.717000148614876e-10,-5.792176839618939e-10,-6.150761238121659e-10,-1.0867761386736535e-09
P07,9,S3,1,M4,Q2,900.4,5,1,HbT,7.606553228465937e-11,1.6710849654963995e-10,3.696381824943167e-11,-3.9101714035227697e-11
P07,9,S3,1,M4,Q2,900.4,6,0,HbO,1.8405294243374317e-10,6.394959437241177e-10,2.476566884447901e-09,2.292513942014158e-09
P07,9,S3,1,M4,Q2,900.4,6,0,HbR,1.266172883228066e-09,1.476766436501624e-10,-8.761017169155262e-10,-2.142274600143592e-09
P07,9,S3,1,M4,Q2,900.4,6,0,HbT,1.4502258256618094e-09,7.871725873742805e-10,1.600465167532375e-09,1.502393418705656e-10
P07,9,S3,1,M4,Q2,900.4,7,1,HbO,-1.310762256074619e-09,4.995403656720846e-10,-2.2198762191631234e-10,1.0887746341583067e-09
P07,9,S3,1,M4,Q2,900.4,7,1,HbR,-9.429108230677494e-11,-7.219725191928913e-10,-4.888133793182819e-10,-3.94522297011507e-10
P07,9,S3,1,M4,Q2,900.4,7,1,HbT,-1.4050533383813935e-09,-2.2243215352080767e-10,-7.108010012345941e-10,6.942523371467993e-10
P07,9,S3,1,M4,Q2,900.4,8,1,HbO,-2.3470685955367407e-08,3.019209392829141e-08,2.8786501269156817e-08,5.225718722452422e-08
P07,9,S3,1,M4,Q2,900.4,8,1,HbR,1.0304744883913886e-08,-7.007852113835547e-09,-7.487471981743232e-09,-1.7792216865657118e-08
P07,9,S3,1,M4,Q2,900.4,8,1,HbT,-1.3165941071453517e-08,2.318424181445585e-08,2.1299029287413612e-08,3.446497035886713e-08
P07,9,S3,1,M4,Q2,900.4,9,1,HbO,-8.121642491718443e-08,1.2193586527579615e-07,1.231586120069508e-07,2.0437503692413523e-07
P07,9,S3,1,M4,Q2,900.4,9,1,HbR,2.7145615844899807e-08,-2.824359787553675e-08,-2.9238988011727724e-08,-5.638460385662753e-08
P07,9,S3,1,M4,Q2,900.4,9,1,HbT,-5.407080907228459e-08,9.369226740025946e-08,9.391962399522313e-08,1.479904330675077e-07
P07,9,S3,1,M4,Q2,900.4,10,1,HbO,-1.1949748189867517e-07,3.217954502667112e-07,3.3793740455384417e-07,4.5743488645251933e-07
P07,9,S3,1,M4,Q2,900.4,10,1,HbR,8.963778341760644e-08,1.3414186823982726e-08,7.236202054438528e-10,-8.891416321216258e-08
P07,9,S3,1,M4,Q2,900.4,10,1,HbT,-2.98596984810686e-08,3.3520963709069415e-07,3.3866102475928806e-07,3.6852072324035666e-07
P07,9,S3,1,M4,Q2,900.4,11,1,HbO,9.132377989825225e-08,2.867177129613382e-08,1.3889997410410579e-08,-7.743378248784167e-08
P07,9,S3,1,M4,Q2,900.4,11,1,HbR,-2.2294020496344544e-09,-3.041715886344596e-09,-2.688423577867791e-09,-4.590215282333365e-10
P07,9,S3,1,M4,Q2,900.4,11,1,HbT,8.909437784861778e-08,2.563005540978924e-08,1.1201573832542787e-08,-7.789280401607499e-08
P07,9,S3,1,M4,Q2,900.4,12,1,HbO,7.437457230934415e-08,1.3895876458906476e-07,9.696813996784237e-08,2.2593567658498224e-08
P07,9,S3,1,M4,Q2,900.4,12,1,HbR,-6.341344658713027e-08,-2.9312648072134756e-09,1.722497860307451e-08,8.063842519020479e-08
P07,9,S3,1,M4,Q2,900.4,12,1,HbT,1.096112572221387e-08,1.360274997818513e-07,1.141931185709169e-07,1.0323199284870302e-07
P07,9,S3,1,M4,Q2,900.4,13,0,HbO,3.1734859070215382e-09,-9.81042020849339e-10,-8.768555897202784e-10,-4.050341496741817e-09
P07,9,S3,1,M4,Q2,900.4,13,0,HbR,1.4679014054094256e-10,-2.0925403180489092e-10,-8.071067473653097e-10,-9.538968879062522e-10
P07,9,S3,1,M4,Q2,900.4,13,0,HbT,3.320276047562482e-09,-1.190296052654231e-09,-1.6839623370855883e-09,-5.00423838464807e-09
P07,9,S3,1,M4,Q2,900.4,14,1,HbO,-7.261547097943741e-08,1.2314050793946718e-07,2.3095427847260176e-07,3.0356974945203914e-07
P07,9,S3,1,M4,Q2,900.4,14,1,HbR,-1.0738222042810791e-07,9.834355069611738e-08,9.578874664897515e-08,2.0317096707708307e-07
P07,9,S3,1,M4,Q2,900.4,14,1,HbT,-1.7999769140754536e-07,2.2148405863558456e-07,3.2674302512157696e-07,5.067407165291223e-07
P07,9,S3,1,M4,Q2,900.4,15,1,HbO,2.802558636027696e-09,4.5907086670324116e-10,4.1786532337827465e-10,-2.3846933126494215e-09
P07,9,S3,1,M4,Q2,900.4,15,1,HbR,1.711372333593668e-09,1.1257365966922942e-10,3.700172299964793e-10,-1.3413551035971888e-09
P07,9,S3,1,M4,Q2,900.4,15,1,HbT,4.513930969621363e-09,5.716445263724724e-10,7.878825533747572e-10,-3.726048416246606e-09
P07,9,S3,1,M4,Q2,900.4,16,1,HbO,-3.7154524978868915e-07,2.7297480501291614e-07,3.2090351859858354e-07,6.924487683872727e-07
P07,9,S3,1,M4,Q2,900.4,16,1,HbR,-5.550503245988057e-08,9.583805903506407e-08,9.44928597461874e-08,1.4999789220606797e-07
P07,9,S3,1,M4,Q2,900.4,16,1,HbT,-4.2705028224857004e-07,3.688128640479803e-07,4.1539637834477107e-07,8.424466605933411e-07
P07,9,S3,1,M4,Q2,900.4,17,1,HbO,-5.705830460575286e-08,8.648167708884656e-08,6.254485504298589e-08,1.1960315964873873e-07
P07,9,S3,1,M4,Q2,900.4,17,1,HbR,1.8430650106939305e-08,1.6617166149508362e-08,1.79652116260165e-08,-4.6543848092280336e-10
P07,9,S3,1,M4,Q2,900.4,17,1,HbT,-3.862765449881371e-08,1.0309884323835497e-07,8.051006666900249e-08,1.1913772116781619e-07
P07,9,S3,1,M4,Q2,900.4,18,1,HbO,-7.497825994389394e-10,9.185949528569344e-10,6.616076106885189e-10,1.4113902101274583e-09
P07,9,S3,1,M4,Q2,900.4,18,1,HbR,1.4127073616754805e-10,8.441197326940858e-10,8.027842603148103e-10,6.615135241472622e-10
