subject_id,marker,roi,motion_correction,hpf,baseline_m10_0,stim_m0_30,response_m5_30,response_minus_baseline_m5_30
P06,M6,PFC_Frontal,none,0,6.728288879964102e-2,-0.15237699008859082,-0.16453808435154943,-2.31820973151190353e-1
P06,M6,Right_Temporal,none,0,-0.16164610928955803,-0.24877557300679651,-0.26565875336977862,-1.04012644080220504e-1
P06,M6,head,none,0,0.052110019596731533,-1.16208053200673144e-1,-0.12550947850283223,-0.17761949809956382
P07,M3,Left_Temporal,none,0,0.20820306851715825,2.29845293478449041e-1,0.20442518496927944,-3.7778835478788581e-3
P07,M3,PFC_Frontal,none,0,0.15858408222674814,0.03060766337101694,-0.01599225424661092,-0.17457633647335902
P07,M3,Right_Temporal,none,0,2.482396241500524330e-1,-0.081382427258440054,-0.41252151908843854,-0.660761143238491
P07,M3,head,none,0,0.18511256379126512,0.04722624231920268,-0.0495373638896466,-2.34649927680911761e-1
P07,M4,Left_Temporal,none,0,-3.752429882860627e-1,-0.1369078312202556,-0.10374835866998032,0.27149462961608234
P07,M4,PFC_Frontal,none,0,-0.0950961079415025,0.10406650844691193,0.12426803983691533,2.19364147778417776e-1
P07,M4,Right_Temporal,none,0,-1.0377662397492102,-0.62780310975450504,-0.59490402177066803,0.44286221797854203
P07,M4,head,none,0,-0.32801363406574396,-0.081237102575675582,-5.6148809708699724e-2,0.27186482435704423
P07,M5,Left_Temporal,none,0,0.30454611542291476,0.18620229011521344,0.16811858259501627,-0.13642753282789849
P07,M5,PFC_Frontal,none,0,0.12422844615831044,5.888856338168952e-2,5.416220122114167e-2,-0.070066244937168745
P07,M5,Right_Temporal,none,0,1.0282776229777402e1,5.8414326030764565,5.0555023383567761,-5.2272738914206265
P07,M5,head,none,0,2.093536151469491,1.1845757569870782e0,1.0285043952229529,-1.0650317562465377
P07,M6,Left_Temporal,none,0,3.9029081257147413e-2,0.12130359841367626,0.14125977941324488,1.02230698156097449e-1
P07,M6,PFC_Frontal,none,0,0.072907423833151297,0.07072023697788532,0.07703099802324298,4.1235741900917020e-3
P07,M6,Right_Temporal,none,0,-0.83321267641479824,-0.80276192446520622,-7.854521390094417e-1,0.047760537405356532
P07,M6,head,none,0,-0.10613989860950648,-0.086022391594933925,-0.075017450670601282,3.1122447938905150e-2
P08,M3,Left_Temporal,none,0,7.432672440795571e-2,3.980707116463029e-2,0.037721340175321041,-0.036605384232634652
P08,M3,PFC_Frontal,none,0,4.51787694073944032e-2,6.685856020543668e-3,-8.803731359499078e-4,-4.605914254334432e-2
P08,M3,Right_Temporal,none,0,7.489737306888561e-2,3.659906955340993e-2,2.6707587754618363e-2,-4.81897853142672352e-2
P08,M3,head,none,0,5.6391447247785340e-2,0.018692413863772791,1.1727183854876606e-2,-4.466426339290876e-2
P08,M4,Left_Temporal,none,0,0.0555459768142317,3.506112090826541e-2,4.5391686625313452e-2,-1.0154290188918254e-2
P08,M4,PFC_Frontal,none,0,0.01806361298148294,-1.669912303589986e-2,-1.8991267193103806e-2,-0.037054880174586732
P08,M4,Right_Temporal,none,0,-0.01083517424935195,-7.774684737583692e-4,1.7608883941959326e-3,1.2596062643547906e-2
P08,M4,head,none,0,1.9698579953276006e-2,-3.8073328442224773e-3,-2.7750558777292163e-3,-2.2473635831005187e-2
P08,M5,Left_Temporal,none,0,0.11483963669926001,0.050412992987555513,0.019243699545381521,-9.5595937153878505e-2
P08,M5,PFC_Frontal,none,0,3.928229870161928e-2,-1.1961789414558015e-2,-0.02010166217830156,-0.059383960879920823
P08,M5,Right_Temporal,none,0,0.04988036013270597,-9.321432046754191e-3,-2.1465517052061142e-2,-0.071345877184767106
P08,M5,head,none,0,0.055692850973757833,4.220467320928973e-4,-1.2867089444982794e-2,-0.068559940418740625
P08,M6,Left_Temporal,none,0,2.1600381830565803e-2,7.358493898085572e-2,7.154254749096889e-2,4.994216566040305e-2
P08,M6,PFC_Frontal,none,0,-1.1043290484788711e-2,-3.0242391716545374e-2,-0.03479910051837333,-2.375581003358467e-2
P08,M6,Right_Temporal,none,0,2.7794675908903907e-3,-1.8716137204107435e-2,-0.027716482506052392,-3.049595009694282e-2
P08,M6,head,none,0,-2.1925418388774902e-3,-0.0082702802480045905,-0.01319447841900888,-1.10019365801314185e-2
P09,M3,Left_Temporal,none,0,-2.8708513720692163e-3,-1.6080417266425023e-2,-0.017991874887464471,-1.512102351539524010e-2
P09,M3,PFC_Frontal,none,0,0.60887810154323663,0.39987493287450215,3.649536649174130e-1,-0.24392443662582383
P09,M3,Right_Temporal,none,0,1.316507274938039e-3,-8.228310385000345e-3,-9.468253925366543e-3,-1.078476120030459e-2
P09,M3,head,none,0,3.766284735082643e-1,0.24291139127442021,0.22069319660357356,-0.15593527690469089
P09,M4,Left_Temporal,none,0,4.307985091757022e-2,3.041317440360425920e-2,0.02854582428555693,-1.4534026632013282e-2
P09,M4,PFC_Frontal,none,0,0.23384854524388876,-1.0005518794037726e-1,-0.14076827948675064,-0.37461682473063945
P09,M4,Right_Temporal,none,0,0.04424616720051372,3.137360413798686e-2,0.029973191791611491,-1.4272975408902235e-2
P09,M4,head,none,0,0.16139691241156606,-0.05017001566945388,-0.075995789000908365,-0.23739270141247501
