subject_id,event_index,bin,bin_lo,value,n_samples,run_index,position_in_run,cycle_position
P56,9,"[50,55)",50,-0.1778132092719853,1050,3,1,opens a run
P56,9,"[55,60)",55,-0.04394571421564078,1050,3,1,opens a run
P56,9,"[60,65)",60,0.02350298691300994,1050,3,1,opens a run
P56,9,"[65,70)",65,-0.013410643494168688,1050,3,1,opens a run
P56,9,"[70,75)",70,-0.09921523408996367,1050,3,1,opens a run
P56,9,"[75,80)",75,0.1353864663222858,1050,3,1,opens a run
P56,9,"[80,85)",80,0.06422990699905072,1050,3,1,opens a run
P56,9,"[85,90)",85,0.0991326169589261,1050,3,1,opens a run
P56,10,"[-10,-5)",-10,0.06422990699905072,1050,3,2,follows a 90-s cycle
P56,10,"[-5,0)",-5,0.0991326169589261,1050,3,2,follows a 90-s cycle
P56,10,"[0,5)",0,0.11778178781472468,1050,3,2,follows a 90-s cycle
P56,10,"[10,15)",10,-0.08129878164093776,1050,3,2,follows a 90-s cycle
P56,10,"[15,20)",15,-0.05156699293154488,1050,3,2,follows a 90-s cycle
P56,10,"[20,25)",20,-0.0031063255893879586,1050,3,2,follows a 90-s cycle
P56,10,"[25,30)",25,5.577708768667245e-4,1050,3,2,follows a 90-s cycle
P56,10,"[30,35)",30,0.011186233248763349,1050,3,2,follows a 90-s cycle
P56,10,"[35,40)",35,-0.03900994704717877,1050,3,2,follows a 90-s cycle
P56,10,"[40,45)",40,0.012114217730876306,1050,3,2,follows a 90-s cycle
P56,10,"[45,50)",45,-0.06839170743683376,1050,3,2,follows a 90-s cycle
P56,10,"[5,10)",5,0.036874646863440455,1050,3,2,follows a 90-s cycle
P56,10,"[50,55)",50,-0.11475291716780897,1050,3,2,follows a 90-s cycle
P56,10,"[55,60)",55,-0.17383002864496228,1050,3,2,follows a 90-s cycle
P56,10,"[60,65)",60,0.001174192353732871,1050,3,2,follows a 90-s cycle
P56,10,"[65,70)",65,-0.004663535208247737,1050,3,2,follows a 90-s cycle
P56,10,"[70,75)",70,0.06163334283165299,1050,3,2,follows a 90-s cycle
P56,10,"[75,80)",75,0.029982839432873765,1050,3,2,follows a 90-s cycle
P56,10,"[80,85)",80,0.013247485398135384,1050,3,2,follows a 90-s cycle
P56,10,"[85,90)",85,0.14758429337721246,1050,3,2,follows a 90-s cycle
P56,11,"[-10,-5)",-10,0.004522098161611274,1050,3,3,follows a 90-s cycle
P56,11,"[-5,0)",-5,0.14496172234691937,1050,3,3,follows a 90-s cycle
P56,11,"[0,5)",0,0.17379384334085005,1050,3,3,follows a 90-s cycle
P56,11,"[10,15)",10,0.07037359834234615,1050,3,3,follows a 90-s cycle
P56,11,"[15,20)",15,0.006640385679358109,1050,3,3,follows a 90-s cycle
P56,11,"[20,25)",20,-0.05339604891880145,1050,3,3,follows a 90-s cycle
P56,11,"[25,30)",25,-0.038766647144049454,1050,3,3,follows a 90-s cycle
P56,11,"[30,35)",30,-0.078438458517173,1050,3,3,follows a 90-s cycle
P56,11,"[35,40)",35,-0.011864035328718265,1050,3,3,follows a 90-s cycle
P56,11,"[40,45)",40,-0.07971651013991708,1050,3,3,follows a 90-s cycle
P56,11,"[45,50)",45,-0.06483643826908032,1050,3,3,follows a 90-s cycle
P56,11,"[5,10)",5,0.16732902271217806,1050,3,3,follows a 90-s cycle
P56,11,"[50,55)",50,-0.021166135534075703,1050,3,3,follows a 90-s cycle
P56,11,"[55,60)",55,-0.08646314214004173,1050,3,3,follows a 90-s cycle
P56,11,"[60,65)",60,-0.09182498733326287,1050,3,3,follows a 90-s cycle
P56,11,"[65,70)",65,-0.15880598814403588,1050,3,3,follows a 90-s cycle
P56,11,"[70,75)",70,-0.15326012781238066,1050,3,3,follows a 90-s cycle
P56,11,"[75,80)",75,-0.14344999378893322,1050,3,3,follows a 90-s cycle
P56,11,"[80,85)",80,-0.10900082485251783,1050,3,3,follows a 90-s cycle
P56,11,"[85,90)",85,0.21815572588549081,1050,3,3,follows a 90-s cycle
P56,12,"[-10,-5)",-10,-0.10526952649614318,1050,3,4,follows a 90-s cycle
P56,12,"[-5,0)",-5,0.22467699235774727,1050,3,4,follows a 90-s cycle
P56,12,"[0,5)",0,0.35339526960143497,1050,3,4,follows a 90-s cycle
P56,12,"[10,15)",10,0.22987417245436026,1050,3,4,follows a 90-s cycle
P56,12,"[15,20)",15,0.1475656093259431,1050,3,4,follows a 90-s cycle
P56,12,"[20,25)",20,0.028026040817469886,1050,3,4,follows a 90-s cycle
P56,12,"[25,30)",25,-0.09369352083208819,1050,3,4,follows a 90-s cycle
P56,12,"[30,35)",30,-0.1406590077130594,1050,3,4,follows a 90-s cycle
P56,12,"[35,40)",35,-0.12129641333626319,1050,3,4,follows a 90-s cycle
P56,12,"[40,45)",40,-0.08780121870772901,1050,3,4,follows a 90-s cycle
P56,12,"[45,50)",45,-0.03365764622197889,1050,3,4,follows a 90-s cycle
