time_s,intensity_760nm,intensity_850nm
340.0000,0.013129937,0.013126223
341.0000,0.013125245,0.013121875
342.0000,0.013125012,0.013121376
343.0000,0.013125274,0.013117662
344.0000,0.013129971,0.013125711
345.0000,0.013129962,0.013123594
346.0000,0.013125231,0.013119329
347.0000,0.013130249,0.013124882
348.0000,0.01313071,0.01312431
349.0000,0.013130047,0.013121602
350.0000,0.013130615,0.013125725
351.0000,0.013125541,0.013121192
352.0000,0.013125618,0.01312177
353.0000,0.013125835,0.013122005
354.0000,0.013130715,0.013124219
355.0000,0.013125558,0.013121854
356.0000,0.013125082,0.013122322
357.0000,0.013130496,0.013126448
358.0000,0.013125207,0.013122471
359.0000,0.01312594,0.013118928
360.0000,0.013125123,0.01312019
361.0000,0.013130172,0.013125428
362.0000,0.013130796,0.013124906
363.0000,0.013130855,0.01312431
364.0000,0.013130752,0.013123803
365.0000,0.013130343,0.01312465
366.0000,0.013125774,0.013119637
367.0000,0.013125192,0.013122199
368.0000,0.013130305,0.013123555
369.0000,0.013125829,0.013121282
370.0000,0.013125857,0.013120149
371.0000,0.013125963,0.013119937
372.0000,0.013130298,0.013123641
373.0000,0.013125221,0.01312077
374.0000,0.013130694,0.013124401
375.0000,0.013130632,0.013125375
376.0000,0.013130555,0.013125853
377.0000,0.013130116,0.013125183
378.0000,0.013125801,0.013121195
379.0000,0.013125724,0.013120972
380.0000,0.013125304,0.013122025
381.0000,0.01312591,0.013121841
382.0000,0.013125961,0.013120345
383.0000,0.013125937,0.013120851
384.0000,0.013125549,0.013121599
385.0000,0.013130115,0.013123216
386.0000,0.013130257,0.013125295
387.0000,0.013125148,0.013120403
388.0000,0.013130272,0.013125391
389.0000,0.013130303,0.013124658
390.0000,0.013125844,0.013120218
391.0000,0.01313006,0.013125685
392.0000,0.013130716,0.013124802
393.0000,0.013130899,0.01312369
394.0000,0.01312592,0.013120178
395.0000,0.013125621,0.013121014
396.0000,0.013130129,0.013124946
397.0000,0.013125666,0.01312097
398.0000,0.013125715,0.013117886
399.0000,0.013125969,0.013120648
400.0000,0.013130453,0.013125275
401.0000,0.013130611,0.013126113
402.0000,0.013125116,0.013122275
403.0000,0.0131259,0.013120623
404.0000,0.013125296,0.013120702
405.0000,0.013130565,0.013125888
406.0000,0.013124894,0.013122157
407.0000,0.013125753,0.013121767
408.0000,0.013125131,0.013120571
409.0000,0.013125185,0.013121136
410.0000,0.013130135,0.013123974
411.0000,0.01313049,0.013124769
412.0000,0.013130594,0.013125091
413.0000,0.013130801,0.013123243
414.0000,0.013125349,0.013120496
415.0000,0.01312582,0.013121735
416.0000,0.013130069,0.013123308
417.0000,0.013125806,0.013120715
418.0000,0.013125695,0.013120548
419.0000,0.013130116,0.013124368
420.0000,0.013125147,0.013121336
421.0000,0.013130071,0.013125454
422.0000,0.013130018,0.013124301
423.0000,0.01312581,0.013121664
424.0000,0.013125475,0.013120322
425.0000,0.013125372,0.013121436
426.0000,0.013125328,0.013120504
427.0000,0.013130662,0.013124399
428.0000,0.013125815,0.013120513
429.0000,0.013125703,0.013120777
430.0000,0.013125707,0.013119953
431.0000,0.013125041,0.013120293
