time_s,intensity_760nm,intensity_850nm
127.0000,0.51242673,0.73187715
128.0000,0.51733488,0.73842174
129.0000,0.51213336,0.72527379
130.0000,0.5107519,0.71560508
131.0000,0.51192051,0.71322483
132.0000,0.51423991,0.71488112
133.0000,0.51783395,0.72354031
134.0000,0.52090055,0.73510426
135.0000,0.50662249,0.70933533
136.0000,0.5089258,0.71545315
137.0000,0.50937915,0.72081971
138.0000,0.51566035,0.73540491
139.0000,0.52373248,0.75636196
140.0000,0.52916974,0.76909685
141.0000,0.5189867,0.74429309
142.0000,0.51642507,0.73642278
143.0000,0.51881415,0.74101728
144.0000,0.52387786,0.74978232
145.0000,0.52746862,0.75293398
146.0000,0.52979767,0.75450152
147.0000,0.52958131,0.7529245
148.0000,0.52635819,0.7476306
149.0000,0.52252716,0.73808545
150.0000,0.52336842,0.73574579
151.0000,0.52155048,0.73014259
152.0000,0.52727997,0.74443465
153.0000,0.52984327,0.7561658
154.0000,0.53257054,0.76845598
155.0000,0.52796102,0.75726992
156.0000,0.52332747,0.74941742
157.0000,0.52817172,0.75816739
158.0000,0.5356108,0.77064753
159.0000,0.5368067,0.77167553
160.0000,0.53999358,0.77961946
161.0000,0.52826923,0.75412041
162.0000,0.53399891,0.76689649
163.0000,0.53400713,0.76889473
164.0000,0.53859842,0.77738118
165.0000,0.52485585,0.75382924
166.0000,0.52573484,0.75858611
167.0000,0.5209806,0.75232345
168.0000,0.52338099,0.76043308
169.0000,0.52841431,0.77350372
170.0000,0.5322758,0.78465897
171.0000,0.53552753,0.7914179
172.0000,0.52822143,0.77211314
173.0000,0.52450603,0.75999105
174.0000,0.52525347,0.75957483
175.0000,0.52719408,0.75889736
176.0000,0.52938044,0.75999284
177.0000,0.53379083,0.77135956
178.0000,0.53602791,0.78311288
179.0000,0.52731895,0.77077872
180.0000,0.52996546,0.77762598
181.0000,0.52745837,0.7710461
182.0000,0.53021848,0.77662796
183.0000,0.52873379,0.77124578
184.0000,0.53601027,0.78463095
185.0000,0.53552318,0.78354979
186.0000,0.54063958,0.79436022
187.0000,0.54314685,0.79703057
188.0000,0.52964807,0.77032191
189.0000,0.52964807,0.77032191
190.0000,0.52964807,0.77032191
191.0000,0.53280127,0.77546102
192.0000,0.53416657,0.78014046
193.0000,0.53115159,0.77193075
194.0000,0.52447873,0.75725466
195.0000,0.52686423,0.76778978
196.0000,0.52594322,0.76499879
197.0000,0.52632737,0.76799101
198.0000,0.53164423,0.78005397
199.0000,0.53616953,0.79228252
200.0000,0.53837562,0.79994589
201.0000,0.53845352,0.80083811
202.0000,0.52716297,0.77622277
203.0000,0.5297336,0.774019
204.0000,0.53012282,0.77162212
205.0000,0.53524113,0.78356856
206.0000,0.52596456,0.7668485
207.0000,0.52234107,0.76074642
208.0000,0.52613723,0.76759565
209.0000,0.53323931,0.78555846
210.0000,0.5192585,0.75734198
211.0000,0.52270448,0.7609601
212.0000,0.52987093,0.77230173
213.0000,0.52859193,0.76517844
214.0000,0.52298921,0.74724442
215.0000,0.5240761,0.747684
216.0000,0.52910203,0.75937963
217.0000,0.53721136,0.77834266
218.0000,0.53945565,0.78493756
219.0000,0.52785736,0.76160347
220.0000,0.53172719,0.76756233
221.0000,0.54011965,0.78458816
222.0000,0.54343581,0.79018241
223.0000,0.53316575,0.7660107
224.0000,0.52878863,0.75147343
225.0000,0.52667558,0.74254441
226.0000,0.532408,0.75090128
227.0000,0.538697,0.76272488
228.0000,0.52841127,0.74376267
229.0000,0.52979004,0.75017279
230.0000,0.52674615,0.74843872
231.0000,0.53282869,0.76271683
232.0000,0.53546667,0.76943702
233.0000,0.53992033,0.77938545
234.0000,0.54101145,0.78118032
235.0000,0.54259735,0.78287977
236.0000,0.54181856,0.7813189
237.0000,0.52923083,0.75603902
238.0000,0.52982944,0.75340664
239.0000,0.53169721,0.75437117
240.0000,0.52906275,0.74689615
241.0000,0.51964235,0.73024225
242.0000,0.52159554,0.73869473
243.0000,0.52483177,0.75144428
244.0000,0.5307942,0.76771098
245.0000,0.53766972,0.78086674
246.0000,0.53047067,0.76695096
247.0000,0.52970475,0.76718217
248.0000,0.53232044,0.77199471
249.0000,0.53580171,0.77561283
250.0000,0.53650564,0.77484918
251.0000,0.53758812,0.77662468
252.0000,0.5259524,0.75523895
253.0000,0.52916229,0.76126927
254.0000,0.53192437,0.76799136
255.0000,0.53883559,0.78647608
256.0000,0.53825855,0.78835678
257.0000,0.52989477,0.76935798
258.0000,0.53371775,0.77384174
259.0000,0.54000497,0.78484881
260.0000,0.53831255,0.78410876
261.0000,0.53795582,0.7840544
262.0000,0.53549117,0.78131723
263.0000,0.53734046,0.78877693
264.0000,0.54638225,0.8134492
265.0000,0.54876709,0.82268363
266.0000,0.54506928,0.81733578
267.0000,0.53668886,0.79669046
268.0000,0.54505867,0.81066281
269.0000,0.55018938,0.81962538
270.0000,0.55135584,0.82090324
271.0000,0.55116349,0.8194896
272.0000,0.54220527,0.80185056
273.0000,0.53851432,0.79457015
274.0000,0.5400697,0.79933381
275.0000,0.53813016,0.78939456
276.0000,0.54719687,0.80635476
277.0000,0.54925525,0.80925673
278.0000,0.55112642,0.81353313
279.0000,0.53627682,0.78271931
280.0000,0.53757471,0.78527999
281.0000,0.53869617,0.78965884
282.0000,0.548123,0.80975962
283.0000,0.54889858,0.81260949
284.0000,0.55159807,0.81781387
285.0000,0.55124694,0.81919664
286.0000,0.54319394,0.80502409
287.0000,0.54078883,0.79994512
288.0000,0.53670764,0.79064333
289.0000,0.5369184,0.78487223
290.0000,0.54292357,0.78983128
291.0000,0.54448426,0.79000938
292.0000,0.54552293,0.78382206
293.0000,0.53086406,0.76336694
294.0000,0.53221667,0.77278453
295.0000,0.53173459,0.77916676
296.0000,0.53905267,0.80021662
297.0000,0.53963333,0.80313784
298.0000,0.54521745,0.81405914
299.0000,0.54588795,0.81423736
300.0000,0.5334425,0.78931934
301.0000,0.53243506,0.78797019
302.0000,0.53436023,0.78737646
303.0000,0.53470904,0.78212655
304.0000,0.5357554,0.78343195
305.0000,0.53472686,0.77870721
306.0000,0.51758552,0.73606628
307.0000,0.51526272,0.72559857
